,q1,q0,q4,q2,q3
q1,0.0000,0.3152,0.2686,0.1770,0.1426
q0,0.3152,0.0000,0.0022,0.0224,0.0378
q4,0.2686,0.0022,0.0000,0.0107,0.0219
q2,0.1770,0.0224,0.0107,0.0000,0.0020
q3,0.1426,0.0378,0.0219,0.0020,0.0000
