,q1,q0,q4,q2,q3
q1,0.0000,0.2751,0.2415,0.1519,0.1157
q0,0.2751,0.0000,0.0013,0.0202,0.0373
q4,0.2415,0.0013,0.0000,0.0114,0.0250
q2,0.1519,0.0202,0.0114,0.0000,0.0026
q3,0.1157,0.0373,0.0250,0.0026,0.0000
