,q0,q1,q4,q2,q3
q0,0.0000,2.8931,0.2277,0.6427,0.7529
q1,2.8931,0.0000,2.6965,2.3854,2.2767
q4,0.2277,2.6965,0.0000,0.4161,0.5253
q2,0.6427,2.3854,0.4161,0.0000,0.1169
q3,0.7529,2.2767,0.5253,0.1169,0.0000
