,q0,q1,q4,q2,q3
q0,0.0000,0.5188,0.0054,0.0498,0.0756
q1,0.5188,0.0000,0.4307,0.2696,0.2209
q4,0.0054,0.4307,0.0000,0.0227,0.0411
q2,0.0498,0.2696,0.0227,0.0000,0.0028
q3,0.0756,0.2209,0.0411,0.0028,0.0000
