,q1,q0,q4,q2,q3
q1,0.0000,2.5400,2.4188,2.1689,2.0581
q0,2.5400,0.0000,0.1542,0.4506,0.5716
q4,2.4188,0.1542,0.0000,0.2975,0.4196
q2,2.1689,0.4506,0.2975,0.0000,0.1233
q3,2.0581,0.5716,0.4196,0.1233,0.0000
