,q1,q0,q4,q2,q3
q1,0.0000,2.4124,2.3206,2.0778,1.9391
q0,2.4124,0.0000,0.1147,0.4355,0.5701
q4,2.3206,0.1147,0.0000,0.3208,0.4563
q2,2.0778,0.4355,0.3208,0.0000,0.1459
q3,1.9391,0.5701,0.4563,0.1459,0.0000
