,q0,q1,q4,q3,q2
q0,0.0000,0.2516,0.0002,0.0040,0.0426
q1,0.2516,0.0000,0.2373,0.1952,0.0919
q4,0.0002,0.2373,0.0000,0.0023,0.0366
q3,0.0040,0.1952,0.0023,0.0000,0.0206
q2,0.0426,0.0919,0.0366,0.0206,0.0000
