,q1,q0,q4,q3,q2
q1,0.0000,2.6186,2.5633,2.4250,2.0395
q0,2.6186,0.0000,0.0867,0.2931,0.7971
q4,2.5633,0.0867,0.0000,0.2066,0.7127
q3,2.4250,0.2931,0.2066,0.0000,0.5099
q2,2.0395,0.7971,0.7127,0.5099,0.0000
