,q0,q1,q4,q3,q2
q0,0.0000,2.6850,0.0514,0.2405,0.6359
q1,2.6850,0.0000,2.6501,2.5813,2.3664
q4,0.0514,2.6501,0.0000,0.1915,0.5850
q3,0.2405,2.5813,0.1915,0.0000,0.3994
q2,0.6359,2.3664,0.5850,0.3994,0.0000
