,q0,q1,q4,q3,q2
q0,0.0000,4.5905,0.1450,0.4575,0.8682
q1,4.5905,0.0000,4.5144,4.4395,4.2595
q4,0.1450,4.5144,0.0000,0.3160,0.7238
q3,0.4575,4.4395,0.3160,0.0000,0.4152
q2,0.8682,4.2595,0.7238,0.4152,0.0000
