,q0,q1,q4,q3,q2
q0,0.0000,0.5129,0.0017,0.0147,0.1008
q1,0.5129,0.0000,0.4628,0.3707,0.1798
q4,0.0017,0.4628,0.0000,0.0064,0.0769
q3,0.0147,0.3707,0.0064,0.0000,0.0393
q2,0.1008,0.1798,0.0769,0.0393,0.0000
